"ItemId","ItemName","ConceptString","Glam","ClassifierId"
"0","Melencolia I","(elderly)(winged)(woman)(sadness)(clutching)(caliper)
","National Gallery (US)","99999"
"1","The beautiful virgin of Regensburg","(virgin)(halo)(woodcut)
","National Gallery (US)","99999"
"2","Venus with a mirror:","(nude)(Venus)(with)(mirror)(and)(cupid
","National Gallery (US)","99999"
"3","Marchesa Brigida Spinola Doria","(Portrait)(standing)(dress)(smiling)(self-possessed)(holding)(fan)
","National Gallery (US)","99999"
"4","Laocoön","(Laocoön)(and)(sons)(attacked by)(snakes)(fear)(suffering)  
","National Gallery (US)","99999"
"5","Pan reclining","(drawing)(Pan)(reclining)(with)(pipes)(goatskin)   
","National Gallery (US)","99999"
"6","Pan","(mythological)(goat)(human)
","National Gallery (US)","99999"
"7","Marchesa Elena Grimaldi Cattaneo","(standing)(shielded by)(parasol)(held by)(servant)(imperious)    
","National Gallery (US)","99999"
"8","Monsignor Francesco Barberini","(statue)(bust)(lifelike)
","National Gallery (US)","99999"
"9","Self-portrait [Judith Leyster]","(smiling)(turned)(wearing)(dress)(painting)(fiddler)
","National Gallery (US)","99999"
"10","The Maas at Dordrecht","(Dutch)(sailing)(ships)(pressuring)(Spain)(Dordrecht)
","National Gallery (US)","99999"
"11","Self-portrait [Rembrandt]","(seated)(brooding)(wise)    
","National Gallery (US)","99999"
"12","Woman holding a balance","(woman)(1/4)(holding)(balance)(measuring)(sin)
","National Gallery (US)","99999"
"13","Young girl reading","(profile)(pink)(cheeks)(positive)(portrayal)(focused).  
","National Gallery (US)","99999"
"14","Watson and the shark","(naked)(boy)(attacked)(rescued)(shark)(fear)(contempt)(shock)(compassion)(Havana) 
","National Gallery (US)","99999"
"15","The Great Red Dragon and the Woman Clothed with the Sun","(based on)(Revelations)(battle)(good)(versus)(evil)(tension)(sweeping)(lines)
","National Gallery (US)","99999"
"16","The Emperor Napoleon in his Study at the Tuileries","(standing)(wearing)(soldier)(uniform)(hand)(in)(waistcoat)   (Code Napoleon)(map)
","National Gallery (US)","99999"
"17","Wivenhoe Park, Essex","(placid)(landscape)(lake)(trees)(cows)(house)(distant)(small)(fishing)(boat)(donkey cart)   
","National Gallery (US)","99999"
"18","The Japanese footbridge","(bridge)(water lilies)(pond)(luminous)
","National Gallery (US)","99999"
"19","Open Window, Collioure [Matisse]","(vivid)(unnatural)(colours)(view)(out)(window)(boats)(sky)
","National Gallery (US)","99999"
"20","Number 1 [Lavender mist]  [Pollock]","(drip)(painting)(various)(colours)(generate)(mauve)
","National Gallery (US)","99999"
"21","Vertical constellation with bomb","(mobile)(painted)(wire)(wood)(with)(bomb)   
","National Gallery (US)","99999"
"22","Tomorrow I May Be Far Away","(collage)(man)(seated)(in front)(shack)(evokes)(jazz)","National Gallery (US)","99999"
