"ItemId","ItemName","ConceptString","Glam","ClassifierId"
"0","Abrader","(tool)(for)(smoothing)
","National Gallery (US) - Name List","99999"
"1","Adobe","(clay)(for)(building)
","National Gallery (US) - Name List","99999"
"2","Adze Blade","(blade)(of)(tool)(for)(carving)(wood) [there are similar tools like mattock going under quite different names]
","National Gallery (US) - Name List","99999"
"3","Adze Head","(head?)(of)(tool)(for)(carving)(wood)
","National Gallery (US) - Name List","99999"
"4","Antler Artifact","(artifact)(from)(antler)
","National Gallery (US) - Name List","99999"
"5","Apache Tear","(round)(nodules)(obsidian)
","National Gallery (US) - Name List","99999"
"6","Apron","(clothing)(to protect)(clothing)
","National Gallery (US) - Name List","99999"
"7","Armor Slat","(flat)(wood)(for)(armor)   
","National Gallery (US) - Name List","99999"
"8","armor","(protection)(for)(war)
","National Gallery (US) - Name List","99999"
"9","Arrow","(long)(round)(pointed)(projectile)(weapon) 
","National Gallery (US) - Name List","99999"
"10","Projectile","(object)(propelled)
","National Gallery (US) - Name List","99999"
"11","Arrow Foreshaft","(front)(long)(part of)(arrow)
","National Gallery (US) - Name List","99999"
"12","Arrow Shaft","(long)(part of)(arrow)
","National Gallery (US) - Name List","99999"
"13","Atlatl","(weapon)(for)(throwing)(spear)  
","National Gallery (US) - Name List","99999"
"14","Atlatl Foreshaft","","National Gallery (US) - Name List","99999"
"15","Atlatl Shaft","","National Gallery (US) - Name List","99999"
"16","Awl_01","(long)(pointed)(spike) 
","National Gallery (US) - Name List","99999"
"17","Awl_02","(making)(holes)(in)(wood)   
","National Gallery (US) - Name List","99999"
"18","Awl_03","(scratching/carving)(wood)
","National Gallery (US) - Name List","99999"
"19","Awl_04","(making)(holes)(in)(leather)
","National Gallery (US) - Name List","99999"
"20","Axe_01","(tool)(for)(cutting)(wood)
","National Gallery (US) - Name List","99999"
"21","Axe_02","(sharp)(blade)(with)(long)(handle)
","National Gallery (US) - Name List","99999"
"22","Bag","(flexible)(container)(for)(carrying)
","National Gallery (US) - Name List","99999"
"23","Bag Handle","(part of)(bag)(for)(carrying)
","National Gallery (US) - Name List","99999"
"24","Bag, Apron","","National Gallery (US) - Name List","99999"
"25","Bag, Awl","","National Gallery (US) - Name List","99999"
"26","Bag, Pipe","","National Gallery (US) - Name List","99999"
"27","Ball","","National Gallery (US) - Name List","99999"
"28","Band","(flat)(thin)(strip)(for)(collecting?)
","National Gallery (US) - Name List","99999"
"29","Basket","(container)(for)(carrying)(made of)(strips)(intertwined)
","National Gallery (US) - Name List","99999"
"30","Basket, Burden","","National Gallery (US) - Name List","99999"
"31","Basketry Fragment","","National Gallery (US) - Name List","99999"
"32","Basketry Fragment, Cord","","National Gallery (US) - Name List","99999"
"33","Basketry Fragment, Sherd","","National Gallery (US) - Name List","99999"
