"TermId","TermType","TermLabel","TermSubProperty"
"http://webprotege.stanford.edu/R70rg92kVgvbRf927ZJ7piJ",ObjectProperty,"Intending","http://webprotege.stanford.edu/R7P4E3dDLVp2lpvTTrfYGgM"
"http://webprotege.stanford.edu/R77LMle3ZbtLWatihnueyIU",ObjectProperty,"Usiing","http://webprotege.stanford.edu/R7P4E3dDLVp2lpvTTrfYGgM"
"http://webprotege.stanford.edu/R7P4E3dDLVp2lpvTTrfYGgM",ObjectProperty,"Causes","http://www.w3.org/2002/07/owl#topObjectProperty"
"http://webprotege.stanford.edu/R7WEk0siYki42D9Qe2emphN",ObjectProperty,"Assembling","http://webprotege.stanford.edu/R7P4E3dDLVp2lpvTTrfYGgM"
"http://webprotege.stanford.edu/R7kRsMwbvFe5cTz231K04yD",ObjectProperty,"Deciding (about)","http://webprotege.stanford.edu/R7P4E3dDLVp2lpvTTrfYGgM"
"http://webprotege.stanford.edu/R81ys9qoXXerNpNzrQyqdvG",ObjectProperty,"Creating or Making or Starting","http://webprotege.stanford.edu/R7P4E3dDLVp2lpvTTrfYGgM"
"http://webprotege.stanford.edu/R84K1PtkX702lNO0DNmaMNw",ObjectProperty,"Pressuring [Sinter is (heat)(plus)(pressure)]","http://webprotege.stanford.edu/R7P4E3dDLVp2lpvTTrfYGgM"
"http://webprotege.stanford.edu/R85aA9egFC5NXkYf2TLACW0",ObjectProperty,"Cytolisis","http://webprotege.stanford.edu/R7P4E3dDLVp2lpvTTrfYGgM"
"http://webprotege.stanford.edu/R85yQJke773TeKIdBb4gJaj",ObjectProperty,"Functioning or metabolism","http://webprotege.stanford.edu/R7P4E3dDLVp2lpvTTrfYGgM"
"http://webprotege.stanford.edu/R89skl6lwVzUs1mFRwm7Ytb",ObjectProperty,"Lighting","http://webprotege.stanford.edu/R7P4E3dDLVp2lpvTTrfYGgM"
"http://webprotege.stanford.edu/R8FOdRQ6jXLpMJGbGxeVu9P",ObjectProperty,"Holding or binding","http://webprotege.stanford.edu/R7P4E3dDLVp2lpvTTrfYGgM"
"http://webprotege.stanford.edu/R8NGGbmpqOLui4tWeYWWMdL",ObjectProperty,"Discharging waste","http://webprotege.stanford.edu/R7P4E3dDLVp2lpvTTrfYGgM"
"http://webprotege.stanford.edu/R8dFvDgIBCMCzWeu8CNjpmh",ObjectProperty,"Rehearsing or Practicing or Doing","http://webprotege.stanford.edu/R7P4E3dDLVp2lpvTTrfYGgM"
"http://webprotege.stanford.edu/R8eI2uXiE0zMZJ2x0EpZFcE",ObjectProperty,"Adapting","http://webprotege.stanford.edu/R7P4E3dDLVp2lpvTTrfYGgM"
"http://webprotege.stanford.edu/R8v1F5w8X2HJfXgUcr9QQTi",ObjectProperty,"Gravitational force [exerted]","http://webprotege.stanford.edu/R7P4E3dDLVp2lpvTTrfYGgM"
"http://webprotege.stanford.edu/R8whV839pQXVoZAtItdyL2y",ObjectProperty,"Has affinity","http://webprotege.stanford.edu/R7P4E3dDLVp2lpvTTrfYGgM"
"http://webprotege.stanford.edu/R96Avvl0KhaJmVWPT5nazgy",ObjectProperty,"Feeling","http://webprotege.stanford.edu/R7P4E3dDLVp2lpvTTrfYGgM"
"http://webprotege.stanford.edu/R9AuWMZlstZbpDI53oLxyfH",ObjectProperty,"Classifying or Grouping","http://webprotege.stanford.edu/R7P4E3dDLVp2lpvTTrfYGgM"
"http://webprotege.stanford.edu/R9Yk6oFfyjVJmvTziLvFGBn",ObjectProperty,"Photosynthesis","http://webprotege.stanford.edu/R7P4E3dDLVp2lpvTTrfYGgM"
"http://webprotege.stanford.edu/R9baBOXSYBTQ5MjaIjPwvn6",ObjectProperty,"Heating","http://webprotege.stanford.edu/R7P4E3dDLVp2lpvTTrfYGgM"
"http://webprotege.stanford.edu/R9fPPfK2J0aRVqrF3sXcDm5",ObjectProperty,"Functioning","http://webprotege.stanford.edu/R7P4E3dDLVp2lpvTTrfYGgM"
"http://webprotege.stanford.edu/R9fZx9TzEsQ3XgGRXyW3Wh",ObjectProperty,"Mixing or Combining","http://webprotege.stanford.edu/R7P4E3dDLVp2lpvTTrfYGgM"
"http://webprotege.stanford.edu/R9nAuhaUKxWOWG1YWZSewc3",ObjectProperty,"Thinking or Reasoning or Supposing","http://webprotege.stanford.edu/R7P4E3dDLVp2lpvTTrfYGgM"
"http://webprotege.stanford.edu/R9oJnSQXqpTmRbBqTJQR5ew",ObjectProperty,"Breaking or Cutting or Tearing","http://webprotege.stanford.edu/R7P4E3dDLVp2lpvTTrfYGgM"
"http://webprotege.stanford.edu/R9owWJq6CGK1lPGcCJZtoyJ",ObjectProperty,"Achieving or Preparing","http://webprotege.stanford.edu/R7P4E3dDLVp2lpvTTrfYGgM"
"http://webprotege.stanford.edu/R9uggJZtU3uGc2VsEIPV4uN",ObjectProperty,"Gaining a soul","http://webprotege.stanford.edu/R7P4E3dDLVp2lpvTTrfYGgM"
"http://webprotege.stanford.edu/R9xiH2CCagci4JhHABXkTbT",ObjectProperty,"Selecting from","http://webprotege.stanford.edu/R7P4E3dDLVp2lpvTTrfYGgM"
"http://webprotege.stanford.edu/RB0KGGcML7nYjrlar8j02jC",ObjectProperty,"Supervising or Controlling","http://webprotege.stanford.edu/R7P4E3dDLVp2lpvTTrfYGgM"
"http://webprotege.stanford.edu/RB1vKW9bg9su2UKe7oq2IvN",ObjectProperty,"Evolving","http://webprotege.stanford.edu/R7P4E3dDLVp2lpvTTrfYGgM"
"http://webprotege.stanford.edu/RB3e4UfBUyNWp5dYq7ly8jz",ObjectProperty,"Rubbing or Sanding or Causing friction","http://webprotege.stanford.edu/R7P4E3dDLVp2lpvTTrfYGgM"
"http://webprotege.stanford.edu/RBBs0n1fYTpQ4KM8oi2bPCD",ObjectProperty,"Helping versus hurting","http://webprotege.stanford.edu/R7P4E3dDLVp2lpvTTrfYGgM"
"http://webprotege.stanford.edu/RBC5LgGsAZGivQX6q7ZgGSk",ObjectProperty,"Has Conflict with","http://webprotege.stanford.edu/R7P4E3dDLVp2lpvTTrfYGgM"
"http://webprotege.stanford.edu/RBRMW37zuKxX4DjY6FUhn4J",ObjectProperty,"Acting or Performing or Working","http://webprotege.stanford.edu/R7P4E3dDLVp2lpvTTrfYGgM"
"http://webprotege.stanford.edu/RBVv1gZKwSMnb6sizyl0UDl",ObjectProperty,"Development of animal","http://webprotege.stanford.edu/R7P4E3dDLVp2lpvTTrfYGgM"
"http://webprotege.stanford.edu/RBcgBjRyiJDm3mtwzjQtPxl",ObjectProperty,"Offering","http://webprotege.stanford.edu/R7P4E3dDLVp2lpvTTrfYGgM"
"http://webprotege.stanford.edu/RBuUtXkUtZtU1xoYCEgfMNr",ObjectProperty,"Not, Opposite","http://www.w3.org/2002/07/owl#topObjectProperty"
"http://webprotege.stanford.edu/RC1HvQSPKB89kPHFMWl28rT",ObjectProperty,"Energizing or Arousing or Powering","http://webprotege.stanford.edu/R7P4E3dDLVp2lpvTTrfYGgM"
"http://webprotege.stanford.edu/RC2TVNJQjgA97uqbFhz8cEE",ObjectProperty,"Being or Experiencing or Occurring","http://webprotege.stanford.edu/R7P4E3dDLVp2lpvTTrfYGgM"
"http://webprotege.stanford.edu/RC90nYNknjJZAh9J6VEX9uq",ObjectProperty,"hasQuality","http://www.w3.org/2002/07/owl#topObjectProperty"
"http://webprotege.stanford.edu/RCAqWkRXlxh3TRF9bR2dKwU",ObjectProperty,"Allowing or Facilitating","http://webprotege.stanford.edu/R7P4E3dDLVp2lpvTTrfYGgM"
"http://webprotege.stanford.edu/RCFNSMzLXtgRV1VLEXL8HOj",ObjectProperty,"Pressing or Compression","http://webprotege.stanford.edu/R7P4E3dDLVp2lpvTTrfYGgM"
"http://webprotege.stanford.edu/RCP7g1snSbjidA08uP6Bphd",ObjectProperty,"Circulating","http://webprotege.stanford.edu/R7P4E3dDLVp2lpvTTrfYGgM"
"http://webprotege.stanford.edu/RCQiFIUuvuIX04yuN57o1cn",ObjectProperty,"Imitating or Pretending or Modeling or Copying","http://webprotege.stanford.edu/R7P4E3dDLVp2lpvTTrfYGgM"
"http://webprotege.stanford.edu/RCVPuuBQyqjbb1xM3C2bUwc",ObjectProperty,"Straining or Tension","http://webprotege.stanford.edu/R7P4E3dDLVp2lpvTTrfYGgM"
"http://webprotege.stanford.edu/RCcGYWVbsKsSN2WT0xfh0yc",ObjectProperty,"Strong nuclear force [exerted]","http://webprotege.stanford.edu/R7P4E3dDLVp2lpvTTrfYGgM"
"http://webprotege.stanford.edu/RCfqmnCaGROabKbfFyt5wfY",ObjectProperty,"Embryonic development","http://webprotege.stanford.edu/R7P4E3dDLVp2lpvTTrfYGgM"
"http://webprotege.stanford.edu/RClKUZ5QMc4jcw1Je6Nb0S2",ObjectProperty,"Playing","http://webprotege.stanford.edu/R7P4E3dDLVp2lpvTTrfYGgM"
"http://webprotege.stanford.edu/RCrk310J1nxEwq0l1B74GxO",ObjectProperty,"Evaluating or Judging or Reviewing","http://webprotege.stanford.edu/R7P4E3dDLVp2lpvTTrfYGgM"
"http://webprotege.stanford.edu/RD0DANBhYhVfXXuuDtAQKDU",ObjectProperty,"Development of organism","http://webprotege.stanford.edu/R7P4E3dDLVp2lpvTTrfYGgM"
"http://webprotege.stanford.edu/RD1M3CgqMMu8yOWoQQAjmN0",ObjectProperty,"Weak nuclear force [exerted]","http://webprotege.stanford.edu/R7P4E3dDLVp2lpvTTrfYGgM"
"http://webprotege.stanford.edu/RDE8xVo94WPYKwqi8VabGba",ObjectProperty,"Transforming or Changing","http://webprotege.stanford.edu/R7P4E3dDLVp2lpvTTrfYGgM"
"http://webprotege.stanford.edu/RDFkNVKtBqgYuxMFaQUquqX",ObjectProperty,"Cooking","http://webprotege.stanford.edu/R7P4E3dDLVp2lpvTTrfYGgM"
"http://webprotege.stanford.edu/RDImC6Mab8K84xnFLh0os6J",ObjectProperty,"Believing","http://webprotege.stanford.edu/R7P4E3dDLVp2lpvTTrfYGgM"
"http://webprotege.stanford.edu/RDOL5UnWCNvftXaANGKsJbA",ObjectProperty,"Paying or Financing or Buying","http://webprotege.stanford.edu/R7P4E3dDLVp2lpvTTrfYGgM"
"http://webprotege.stanford.edu/RDOmMfWWfsBQ2S4WLDb5PFl",ObjectProperty,"Magnetizing","http://webprotege.stanford.edu/R7P4E3dDLVp2lpvTTrfYGgM"
"http://webprotege.stanford.edu/RDRQ33Xr4OGQoILRn15SBgu",ObjectProperty,"Demonstrating, Displaying, Exhibiting","http://webprotege.stanford.edu/R7P4E3dDLVp2lpvTTrfYGgM"
"http://webprotege.stanford.edu/RDUTTND4v2sWrrLYv8Pf8Z",ObjectProperty,"Talking to, or Discussing, or Conversing","http://webprotege.stanford.edu/R7P4E3dDLVp2lpvTTrfYGgM"
